title,year,rating,votes,metascore,genres,budget,gross,plot outline
Knight and Day,2010,6.3,167757,46,"['Action', 'Adventure', 'Comedy']",117000000,261900000,"June has a garage in Boston. At an airport heading home, a man bumps into her a few times and tries to keep her off the plane. He's under FBI surveillance; they wonder if he and she are working together, so they let both on a flight full of armed men wanting to arrest the stranger. He's Roy, he shoots his way out of trouble and tells her she's in danger. She's home the next day, miraculously, when agents pick her up; Roy saves her again, and a transcontinental chase ensues with Roy convincing her that he's the good guy, protecting an energy source that a rogue agent wants to sell on the black market. Can she trust Roy, and will trust matter when the bullets start flying?"
Valkyrie,2008,7.1,210816,56,"['Drama', 'History', 'Thriller', 'War']",82500000,200300000,"In Nazi Germany during World War II, as the tide turned in favor of the Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a nearly inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Adolf Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of Der Führer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe."
Lions for Lambs,2007,6.2,45025,47,"['Drama', 'Thriller', 'War']",35000000,63200000,"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a promising student to re-engage. Decisions press upon the reporter, the student, and the soldiers."
Mission: Impossible III,2006,6.9,301054,66,"['Action', 'Adventure', 'Thriller']",150000000,397800000,"A man named Owen Davian kills an IMF agent that was sent undercover by the legendary Ethan Hunt, who has retired from combat missions. Hunt now has a fiancé, Julia, who believes that he works for the traffic department when he really trains younger IMF agents to go into combat. He is assigned to his last mission. His mission, should he choose to accept it is to capture Davian, who is selling a toxic weapon called the rabbits foot. But Davian is reckless, cruel, and deathly. He promises Hunt that he will find Julia, hurt her, and Ethan will be too dead to help her. The mission is no more different to others, its dangerous, smart, and impossible; but now it's personal."
War of the Worlds,2005,6.5,381476,73,"['Adventure', 'Sci-Fi', 'Thriller']",132000000,591700000,"An ordinary man has to protect his children against alien invaders in this science fiction thriller, freely adapted from the classic story by H.G. Wells. Ray Ferrier (Tom Cruise) is a dockworker living in New Jersey, divorced from his first wife Mary Ann (Miranda Otto) and estranged from his two children Rachel and Robbie (Dakota Fanning and Justin Chatwin), of whom he has custody on weekends. On one such visitation, looking after the kids becomes a little more difficult when, after a series of strange lighting storms hit his neighborhood, Ray discovers that a fleet of death-ray robotic spaceships have emerged nearby, part of the first wave of an all-out alien invasion of the Earth. Transporting his children from New York to Boston in an attempt to find safety at Mary Ann's parents' house, Ray must learn to become the protector and provider he never was in marriage."
Collateral,2004,7.5,331236,71,"['Crime', 'Drama', 'Thriller']",65000000,217800000,"LA cabbie Max Durocher is the type of person who can wax poetic about other people's lives, which impresses U.S. Justice Department prosecutor Annie Farrell, one of his fares, so much that she gives him her telephone number at the end of her ride. Although a dedicated man as seen through the efficiency in which he does his work, he can't or won't translate that eloquence into a better life for himself. He deludes himself into believing that his now twelve year cabbie job is temporary and that someday he will own his own limousine service. He even lies to his hospitalized mother that he already owns one, with a further lie that he tells her as such primarily to make her happy, rather than the truth which is that he won't do anything to achieve that dream. One night, Max picks up a well dressed man named Vincent, who asks Max to be his only fare for the evening. For a flat fee of $600, plus an extra $100 if he gets to the airport on time - Vincent wants Max to drive him to five stops that evening. Max somewhat reluctantly agrees. Max learns the hard way at their first stop when a body falls from a third story apartment window and lands dead on top of his cab that Vincent is a contract hit man. Vincent's main goal, as per his current contract, is to kill five people, one at each of the stops, but he will not let others get in the way of that goal, even if it means killing them, including Max. As Vincent forces Max to continue driving him for the evening, Max tries slyly at every turn to take back control of his life from Vincent, especially when Max learns of one of the names on Vincent's hit list. Meanwhile, LAPD narcotics detective, Ray Fanning, and ultimately the FBI get involved when Vincent's first victim is associated with a case in which Ray is working undercover. Ray is able to piece together information which makes him hot on Max and Vincent's tail."
The Last Samurai,2003,7.7,364334,55,"['Action', 'Drama', 'History', 'War']",140000000,456800000,"In the 1870s, Captain Nathan Algren, a cynical veteran of the American Civil war who will work for anyone, is hired by Americans who want lucrative contracts with the Emperor of Japan to train the peasant conscripts for the first standing imperial army in modern warfare using firearms. The imperial Omura cabinet's first priority is to repress a rebellion of traditionalist Samurai -hereditary warriors- who remain devoted to the sacred dynasty but reject the Westernizing policy and even refuse firearms. Yet when his ill-prepared superior force sets out too soon, their panic allows the sword-wielding samurai to crush them. Badly wounded Algren's courageous stand makes the samurai leader Katsumoto spare his life; once nursed to health he learns to know and respect the old Japanese way, and participates as advisor in Katsumoto's failed attempt to save the Bushido tradition, but Omura gets repressive laws enacted- he must now choose to honor his loyalty to one of the embittered sides when the conflict returns to the battlefield..."
Minority Report,2002,7.7,462108,80,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",102000000,358400000,"In the year 2054 A.D. crime is virtually eliminated from Washington D.C. thanks to an elite law enforcing squad ""Precrime"". They use three gifted humans (called ""Pre-Cogs"") with special powers to see into the future and predict crimes beforehand. John Anderton heads Precrime and believes the system's flawlessness steadfastly. However one day the Pre-Cogs predict that Anderton will commit a murder himself in the next 36 hours. Worse, Anderton doesn't even know the victim. He decides to get to the mystery's core by finding out the 'minority report' which means the prediction of the female Pre-Cog Agatha that ""might"" tell a different story and prove Anderton innocent."
Vanilla Sky,2001,6.9,231422,45,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",68000000,203400000,"Incarcerated and charged with murder, David Aames Jr. is telling the story of how he got to where he is to McCabe, the police psychologist. That story includes: being the 51% shareholder of a major publishing firm, which he inherited from his long deceased parents; the firm's board, appointed by David Aames Sr., being the 49% shareholders who would probably like to see him gone as they see him as being too irresponsible and immature to run the company; his best bro friendship with author, Brian Shelby; his ""friends with benefits"" relationship with Julie Gianni, who saw their relationship in a slightly different light; his budding romance with Sofia Serrano, who Brian brought to David's party as his own date and who Brian saw as his own possible life mate; and being in an accident which disfigured his face and killed the person who caused the accident. But as the story proceeds, David isn't sure what is real and what is a dream/nightmare as many facets of the story are incompatible to be all real. The mysterious man in the restaurant may be able to shed some light on David's confusion."
Mission: Impossible II,2000,6.1,285708,59,"['Action', 'Adventure', 'Thriller']",125000000,546400000,"Chimera is a deadly virus that will bear a grisly death unless you are given the antidote. The creator of Chimera is murdered and the antidote is stolen by a disavowed IMF agent, Sean Ambrose. The Impossible Mission Force, IMF, hire the skilled and charming Ethan Hunt, and the beautiful Nyah Nirdoff-Hall, who has had her share with Ambrose. Their mission, should they choose to accept it is to send Hirdoff-Hall undercover to Ambrose and learn what she can for Hunt to bring down Chimera, but they will have to break into a secure lab by jumping off buildings and dodging bullets. Its impossible."
Magnolia,1999,8,266688,77,['Drama'],37000000,48500000,"24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky."
Eyes Wide Shut,1999,7.4,267544,68,"['Drama', 'Mystery', 'Thriller']",65000000,162100000,"After his wife, Alice, tells him about her sexual fantasies, William Harford sets out for a night of sexual adventure. After several less than successful encounters, he meets an old friend, Nick Nightingale - now a musician - who tells him of strange sex parties when he is required to play the piano blindfolded. All the men at the party are costumed and wear masks while the women are all young and beautiful. Harford manages to find an appropriate costume and heads out to the party. Once there, however, he is warned by someone who recognizes him, despite the mask, that he is in great danger. He manages to extricate himself but the threats prove to be quite real and sinister."
Jerry Maguire,1996,7.3,218929,77,"['Comedy', 'Drama', 'Romance', 'Sport']",50000000,273600000,"Jerry Maguire (Tom Cruise) is a successful sports agent. The biggest clients, the respect, a beautiful fiancée, he has it all. Until one night he questions his purpose. His place in the world, and finally comes to terms with what's wrong with his career and life. Recording all his thoughts in a mission statement Jerry feels he has a new lease on life. Unfortunately his opinions aren't met with enthusiasm from his superiors and after dishonorably being stripped of his high earning clients and elite status within the agency Jerry steps out into the sports business armed with only one volatile client (Cuba Gooding Jr.) and the only person with belief in his abilities (Renée Zellweger) with the impossible task of rebuilding what he once had. Along the way he faces the harsh truths which he'd ignored in the past and a host of hardships that he'd never faced before."
Mission: Impossible,1996,7.1,353071,59,"['Action', 'Adventure', 'Thriller']",80000000,457700000,"Based on the hit T.V. series. Jim Phelps was sent to Prague for a mission to prevent the theft of classified material. His wife Claire and his trusted partner Ethan Hunt were members of Phelps' team. Unfortunately, something went horribly wrong and the mission failed, leaving Ethan Hunt the lone survivor. After he reported the failed mission, Kettridge the head of the agency suspects Ethan of being the culprit for the failed mission. Now, Ethan uses unorthodox methods (Which includes the aid of an arms dealer going by the name ""Max"") to try to find who set him up and to clear his name."
Interview with the Vampire,1994,7.6,270349,59,"['Drama', 'Horror']",60000000,223700000,"It hasn't even been a year since a plantation owner named Louis lost his wife in childbirth. Both his wife and the infant died, and now he has lost his will to live. A vampire named Lestat takes a liking to Louis and offers him the chance to become a creature of the night: a vampire. Louis accepts, and Lestat drains Louis' mortal blood and then replaces it with his own, turning Louis into a vampire. Louis must learn from Lestat the ways of the vampire."
The Firm,1993,6.8,103952,58,"['Drama', 'Mystery', 'Thriller']",42000000,270200000,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan..."
A Few Good Men,1992,7.7,211044,62,"['Drama', 'Thriller']",36500000,243200000,"In this dramatic courtroom thriller, LT Daniel Kaffee, a Navy lawyer who has never seen the inside of the courtroom, defends two stubborn Marines who have been accused of murdering a colleague. Kaffee is known as being lazy and had arranged for a plea bargain. Downey's Aunt Ginny appoints Cmdr. Galloway to represent him. Also on the legal staff is LTJG Sam Weinberg. The team rounds up many facts and Kaffee is discovering that he is really cut out for trial work. The defense is originally based upon the fact that PFC Santiago, the victim, was given a ""CODE RED"". Santiago was basically a screw-up. At Gitmo, screw-ups aren't tolerated. Especially by Col. Nathan Jessup. In Cuba, Jessup and two senior officers try to give all the help they can, but Kaffee knows something's fishy. In the conclusion of the film, the fireworks are set off by a confrontation between Jessup and Kaffee."
Far and Away,1992,6.6,54196,49,"['Adventure', 'Drama', 'Romance', 'Western']",60000000,137800000,"A young man leaves Ireland with his landlord's daughter after some trouble with her father and they dream of owning land at the big give-away in Oklahoma ca. 1893. When they get to the new land, they find jobs and begin saving money. The man becomes a local bare-hands boxer and rides in glory until he is beaten, then his employers steal all the couple's money and they must fight off starvation in the winter and try to keep their dream of owning land alive. Meanwhile, the woman's parents find out where she has gone and have come to the U.S. to find her and take her back."
Days of Thunder,1990,6,70838,60,"['Action', 'Drama', 'Sport']",60000000,157900000,"Cole Trickle enters the high-pressure world of Nascar racing. He's a hot driver with a hot temper, and this attitude gets him into trouble not only with other drivers, but members of his own team as well."
Born on the Fourth of July,1989,7.2,88592,75,"['Biography', 'Drama', 'War']",17800000,161000000,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
Rain Man,1988,8,434869,65,['Drama'],25000000,354800000,"Charles Sanford ""Charlie"" Babbit is a self-centered Los Angeles-based automobile dealer/hustler/bookie who is at war with his own life. Charlie, as a young teenager, used his father's 1949 Buick convertible without permission and as a result, he went to jail for two days on account that his father reported it stolen. It is then that Charlie learns that his estranged father died and left him from his last will and testament a huge bed of roses and the car while the remainder will of $3 Million goes into a trust fund to be distributed to someone. Charlie seemed pretty angry by this and decides to look into this matter. It seems as if that ""someone"" is Raymond, Charlie's unknown brother, an autistic savant who lives in a world of his own, resides at the Walbrook Institute. Charlie then kidnaps Raymond and decides to take him on a lust for life trip to the west coast as a threat to get the $3 Million inheritance. Raymond's acts and nagging, including repeated talks of ""Abbott & Costello"", ""Four minutes till Wapner"" and refusal to fly on an airline except Quantas drives Charlie insane... and out of his selfish world into a cross-country trek of pure love and understanding that these two both have."
Cocktail,1988,5.9,72272,12,"['Comedy', 'Drama', 'Romance']",20000000,171500000,"With dreams of becoming a successful businessman and even a millionaire, the ex-military man, Brian Flanagan, waits for his big break while serving drinks at a New York City tavern and studying for his degree. However, when the charismatic cynic and veteran bartender, Doug Coughlin, becomes the ambitious Brian's sage mentor, their chemistry combined with the flamboyant tricks behind the bar will soon yield fame and money until they decide to split ways. Eventually, as Flanagan struggles to raise money in Jamaica to open his own bar someday, he will fall hard for the striving waitress Jordan Mooney, while a wealthy fashion executive wants to take him back to Manhattan to live with her. Is there a future between Brian and Jordan?"
The Color of Money,1986,7,66857,77,"['Drama', 'Sport']",13800000,52300000,"Pool hustler Fast Eddie Felson finds the young, promising pool player Vincent in a local bar and he sees in him a younger version of himself. To try and make it as in the old days, Eddie offers to teach Vincent how to be a hustler. After some hesitations Vincent accepts and Eddie takes him and Vincent's girlfriend Carmen on a tour through the country to work the pool halls. However, Vincent's tendency to show off his talent and by doing so warning off the players and losing money, soon leads to a confrontation with Eddie."
Top Gun,1986,6.9,256937,50,"['Action', 'Drama']",100000000,,"Code-named ""Maverick"", Pete Mitchell, the impetuous daredevil Navy-pilot ace, is accepted into Miramar's elite Fighter School, also known as ""Top Gun"". There, as the impulsive pilot competes with the best of the best, not only will he meet Charlie, the flying school's curvaceous astrophysics instructor, but also the brilliant and highly competitive fellow student, ""Iceman"", with whom right from the start, he will engage in a reckless contest. As Maverick is haunted by his father's mysterious death, will he be able to suppress his wild nature to win both the prestigious Top Gun Trophy and the girl?"
Legend,1985,6.5,53933,30,"['Adventure', 'Fantasy', 'Romance']",24500000,15500000,A demon who seeks to create eternal night by destroying the last of the unicorns and marrying a fairy princess is opposed by the forest boy Jack and his elven allies in this magical fantasy. Two different versions of this picture feature soundtracks by either Tangerine Dream or Jerry Goldsmith.
All the Right Moves,1983,5.9,14256,62,"['Drama', 'Romance', 'Sport']",5600000,17233166,"Sensitive study of a headstrong high school football star who dreams of getting out of his small Western Pennsylvania steel town with a football scholarship. His equally ambitious coach aims at a college position, resulting in a clash which could crush the player's dreams."
Risky Business,1983,6.8,72355,75,"['Comedy', 'Crime', 'Drama', 'Romance']",6200000,63500000,"A suburban Chicago teenager's parents leave on vacation, and he cuts loose. An unauthorised trip in his father's Porsche means a sudden need for lots of money, which he raises in a creative way."
Losin' It,1983,4.8,3676,51,"['Comedy', 'Drama']",7000000,1246141,"Teen sex comedy set in 1965 which follows four Los Angeles school friends, Woody, Dave, Spider, Wendell and the series of misadventures they get into when they travel south of the border to Tijuana, Mexico for a night of cruisin', causing trouble, and to settle a pact to lose their virginity before the night is over, while a young woman, named Kathy, accompanies them for different reasons: to arrange a quick divorce from her husband."
The Outsiders,1983,7.2,66691,41,"['Crime', 'Drama']",10000000,33700000,"Tulsa, Oklahoma, 1965. Fourteen-year-old Ponyboy Curtis is the youngest of three orphaned brothers who live on the north side of town, the ""wrong side"" of the tracks. Sensitive Ponyboy used to have a good relationship with his oldest brother Darrel, but since Darrel became the household caregiver, he is always on Ponyboy's case. Caught in the middle is third brother Sodapop, who dropped out of school to work full time. They all belong to The Greasers, a gang of boys from the north side also from working class families, often broken. Ponyboy's main concern is that any problem they may encounter, especially in their Greaser activities, will lead to the authorities splitting up their family. He also believes Darrel would have outgrown them and become something in his life if it wasn't for his loyalty to the gang, and the need to take care of the family. The rest of the world sees the Greasers as all the same, the face being Dallas Winston, the most volatile one who has just been released from prison, despite each boy having his own specific view of life. Similarly, the world sees the Socs, the Greasers' primary rivals, as all the same, rich spoiled entitled boys with a sense of superiority from the south side of town, despite again each boy being his own person. A connection between the two gangs happens in the form of Ponyboy and Cherry Valance, which doesn't sit well with Cherry's Soc boyfriend, Bob Sheldon. As a result, an incident occurs involving the Socs, Ponyboy and fellow Greaser, sixteen-year-old Johnny Cade, an equally sensitive boy who wants a better life for himself, but seems stuck in a downward spiral with parents who don't give him the time of day. Beyond Ponyboy and Johnny's lives being threatened by that incident, the Greasers and the Socs agree to a rumble to settle things once and for all. Some of the boys realize the rumble will accomplish nothing, with the questions being if they can convince their colleagues of the same, and if not what the consequences will be."
